PRODUCT_ID,PRODUCT_NAME,MANUFACTURER,PRODUCT_TYPE,PRODUCT_SIZE,RETAIL_PRICE
120046,lemon wheat cream yellow peach,Manufacturer#4,ECONOMY PLATED NICKEL,49,1066.04
120047,cyan almond beige maroon slate,Manufacturer#1,PROMO BURNISHED STEEL,43,1067.04
120048,papaya dark forest chocolate olive,Manufacturer#2,STANDARD PLATED BRASS,34,1068.04
120049,firebrick rose magenta black gainsboro,Manufacturer#4,STANDARD BURNISHED COPPER,48,1069.04
120050,azure navy goldenrod ghost ivory,Manufacturer#4,STANDARD POLISHED TIN,43,1070.05
120051,lace ghost drab midnight blush,Manufacturer#4,LARGE POLISHED COPPER,33,1071.05
120052,white chiffon olive saddle wheat,Manufacturer#4,SMALL ANODIZED NICKEL,42,1072.05
120053,papaya pink grey peru firebrick,Manufacturer#4,LARGE PLATED TIN,31,1073.05
120054,indian midnight seashell grey plum,Manufacturer#3,LARGE BURNISHED NICKEL,29,1074.05
120055,midnight linen orange dark plum,Manufacturer#2,ECONOMY BRUSHED STEEL,36,1075.05
120056,blue pale antique thistle sky,Manufacturer#4,STANDARD BRUSHED BRASS,30,1076.05
120057,navajo firebrick tan lemon chiffon,Manufacturer#1,PROMO ANODIZED BRASS,15,1077.05
120058,sienna honeydew royal lawn burlywood,Manufacturer#1,LARGE PLATED COPPER,10,1078.05
120059,rose steel green chartreuse smoke,Manufacturer#3,SMALL BRUSHED TIN,35,1079.05
120060,violet yellow maroon beige wheat,Manufacturer#3,LARGE ANODIZED TIN,44,1080.06
120061,magenta dim green indian pink,Manufacturer#1,MEDIUM BURNISHED STEEL,22,1081.06
120062,blanched grey blush sandy dim,Manufacturer#3,ECONOMY POLISHED NICKEL,32,1082.06
120063,dodger medium chocolate light green,Manufacturer#5,STANDARD ANODIZED COPPER,22,1083.06
120064,antique midnight black turquoise sienna,Manufacturer#3,SMALL POLISHED BRASS,38,1084.06
120065,green blanched steel dim brown,Manufacturer#3,PROMO BRUSHED BRASS,14,1085.06
120066,chocolate aquamarine powder spring tan,Manufacturer#1,PROMO PLATED STEEL,26,1086.06
120067,puff magenta navy lavender smoke,Manufacturer#2,LARGE BRUSHED STEEL,35,1087.06
120068,green chocolate khaki black sky,Manufacturer#5,MEDIUM PLATED NICKEL,15,1088.06
120069,rose wheat floral blue smoke,Manufacturer#3,LARGE PLATED COPPER,34,1089.06
120070,cornsilk rosy sandy orange olive,Manufacturer#4,STANDARD BRUSHED STEEL,49,1090.07
120071,mint chiffon sienna snow magenta,Manufacturer#2,PROMO POLISHED STEEL,34,1091.07
120072,peach honeydew violet lemon lavender,Manufacturer#5,PROMO ANODIZED TIN,5,1092.07
120073,slate beige turquoise sky dim,Manufacturer#2,ECONOMY BURNISHED BRASS,8,1093.07
120074,ghost medium saddle grey cyan,Manufacturer#2,STANDARD POLISHED STEEL,29,1094.07
120075,smoke sienna rosy turquoise green,Manufacturer#3,PROMO POLISHED STEEL,7,1095.07
120076,goldenrod floral firebrick maroon seashell,Manufacturer#3,STANDARD BRUSHED BRASS,23,1096.07
120077,misty thistle orchid beige blanched,Manufacturer#5,STANDARD PLATED NICKEL,46,1097.07
120078,beige thistle lawn white midnight,Manufacturer#3,LARGE POLISHED COPPER,27,1098.07
120079,deep metallic yellow chartreuse tan,Manufacturer#1,STANDARD BRUSHED BRASS,3,1099.07
120080,black red rosy ivory orange,Manufacturer#5,PROMO ANODIZED NICKEL,8,1100.08
120081,chocolate lemon linen aquamarine beige,Manufacturer#2,STANDARD BRUSHED COPPER,32,1101.08
120082,mint antique lime blanched khaki,Manufacturer#2,PROMO BRUSHED BRASS,34,1102.08
120083,navy burnished peach dodger firebrick,Manufacturer#5,STANDARD BRUSHED STEEL,5,1103.08
120084,ghost misty chocolate pink peach,Manufacturer#4,PROMO BURNISHED NICKEL,38,1104.08
120085,royal purple lawn blanched gainsboro,Manufacturer#1,ECONOMY PLATED STEEL,41,1105.08
120086,red ivory thistle wheat cornsilk,Manufacturer#1,SMALL POLISHED NICKEL,22,1106.08
120087,orchid bisque pink floral smoke,Manufacturer#3,MEDIUM BRUSHED TIN,34,1107.08
120088,floral lawn burlywood beige wheat,Manufacturer#2,MEDIUM PLATED BRASS,2,1108.08
120089,black ghost sky puff cornflower,Manufacturer#4,ECONOMY ANODIZED NICKEL,41,1109.08
120090,drab saddle honeydew spring violet,Manufacturer#1,PROMO POLISHED TIN,10,1110.09
120091,deep pink chocolate thistle lime,Manufacturer#3,MEDIUM ANODIZED TIN,17,1111.09
120092,beige honeydew deep brown tomato,Manufacturer#4,STANDARD PLATED TIN,33,1112.09
120093,chartreuse tan rose snow moccasin,Manufacturer#2,PROMO ANODIZED TIN,25,1113.09
120094,spring drab rose white misty,Manufacturer#2,MEDIUM BURNISHED COPPER,49,1114.09
120095,seashell sky blue dodger violet,Manufacturer#2,LARGE BURNISHED BRASS,16,1115.09
120096,ivory lawn cyan medium cornsilk,Manufacturer#5,PROMO BRUSHED COPPER,25,1116.09
120097,chiffon linen slate deep chocolate,Manufacturer#5,PROMO BURNISHED TIN,3,1117.09
120098,medium ivory cornsilk lavender chartreuse,Manufacturer#1,STANDARD BURNISHED STEEL,35,1118.09
120099,forest burnished powder gainsboro magenta,Manufacturer#5,MEDIUM ANODIZED NICKEL,21,1119.09
120100,tomato snow rose smoke linen,Manufacturer#1,PROMO BURNISHED NICKEL,35,1120.10
120101,royal ivory brown dim burlywood,Manufacturer#1,SMALL BRUSHED NICKEL,45,1121.10
120102,blue deep royal tomato blanched,Manufacturer#5,LARGE BRUSHED TIN,40,1122.10
120103,indian goldenrod lime cream light,Manufacturer#5,SMALL PLATED TIN,16,1123.10
120104,misty cornsilk thistle burlywood peach,Manufacturer#5,PROMO BURNISHED COPPER,13,1124.10
120105,spring hot snow almond goldenrod,Manufacturer#5,STANDARD ANODIZED COPPER,29,1125.10
120106,yellow chocolate chartreuse peru olive,Manufacturer#3,ECONOMY PLATED STEEL,29,1126.10
120107,papaya rosy dodger dim azure,Manufacturer#2,PROMO ANODIZED TIN,38,1127.10
120108,deep chocolate brown magenta lemon,Manufacturer#1,MEDIUM PLATED BRASS,39,1128.10
120109,antique orchid yellow red honeydew,Manufacturer#3,STANDARD PLATED NICKEL,36,1129.10
120110,chocolate orchid khaki papaya antique,Manufacturer#2,SMALL PLATED BRASS,27,1130.11
120111,mint grey beige orchid aquamarine,Manufacturer#3,ECONOMY PLATED NICKEL,4,1131.11
120112,brown wheat royal indian hot,Manufacturer#5,ECONOMY BURNISHED STEEL,9,1132.11
120113,brown beige floral slate burnished,Manufacturer#1,SMALL BURNISHED NICKEL,36,1133.11
120114,light hot beige saddle gainsboro,Manufacturer#5,LARGE BURNISHED TIN,41,1134.11
120115,gainsboro aquamarine cornsilk chiffon hot,Manufacturer#3,SMALL PLATED STEEL,14,1135.11
120116,lace sandy drab rose cream,Manufacturer#1,LARGE PLATED TIN,16,1136.11
120117,chiffon rosy powder orchid metallic,Manufacturer#5,LARGE BURNISHED COPPER,48,1137.11
120118,mint medium lemon frosted burlywood,Manufacturer#4,LARGE BURNISHED NICKEL,16,1138.11
120119,salmon cornsilk lawn ivory bisque,Manufacturer#4,STANDARD BRUSHED STEEL,23,1139.11
120120,moccasin tan misty linen blanched,Manufacturer#2,MEDIUM ANODIZED NICKEL,45,1140.12
120121,sandy thistle lawn seashell salmon,Manufacturer#4,ECONOMY ANODIZED TIN,13,1141.12
120122,burnished royal salmon slate blush,Manufacturer#3,PROMO BRUSHED NICKEL,15,1142.12
120123,lavender saddle royal red plum,Manufacturer#1,MEDIUM ANODIZED TIN,49,1143.12
120124,deep olive steel slate goldenrod,Manufacturer#2,LARGE BRUSHED COPPER,17,1144.12
120125,cornflower black aquamarine cornsilk coral,Manufacturer#4,STANDARD POLISHED NICKEL,2,1145.12
120126,maroon mint sienna steel violet,Manufacturer#2,MEDIUM POLISHED STEEL,35,1146.12
120127,peach gainsboro papaya orange lawn,Manufacturer#3,STANDARD ANODIZED STEEL,41,1147.12
120128,forest black cream yellow sandy,Manufacturer#2,LARGE ANODIZED BRASS,28,1148.12
120129,black moccasin almond chocolate sky,Manufacturer#2,SMALL ANODIZED BRASS,32,1149.12
120130,misty blanched royal sienna salmon,Manufacturer#2,SMALL ANODIZED BRASS,10,1150.13
120131,lemon green navy blue indian,Manufacturer#2,SMALL BRUSHED TIN,10,1151.13
120132,ivory snow olive tan dark,Manufacturer#2,PROMO POLISHED COPPER,50,1152.13
120133,honeydew deep cyan burnished light,Manufacturer#2,LARGE POLISHED BRASS,12,1153.13
120134,olive gainsboro violet steel brown,Manufacturer#5,PROMO PLATED NICKEL,14,1154.13
120135,green maroon royal tan steel,Manufacturer#3,MEDIUM BURNISHED BRASS,26,1155.13
120136,puff medium slate mint deep,Manufacturer#3,MEDIUM POLISHED TIN,25,1156.13
120137,sandy snow burnished goldenrod azure,Manufacturer#5,PROMO BURNISHED COPPER,13,1157.13
120138,aquamarine thistle violet deep royal,Manufacturer#3,PROMO BRUSHED TIN,21,1158.13
120139,ghost forest burnished moccasin seashell,Manufacturer#4,ECONOMY PLATED TIN,25,1159.13
120140,mint sky misty dodger forest,Manufacturer#5,MEDIUM PLATED COPPER,20,1160.14
120141,navy ghost spring mint lawn,Manufacturer#4,STANDARD BRUSHED STEEL,29,1161.14
120142,firebrick navajo dim cream sandy,Manufacturer#1,PROMO ANODIZED COPPER,26,1162.14
120143,ivory navajo black lace honeydew,Manufacturer#5,PROMO BRUSHED STEEL,8,1163.14
120144,rose medium lemon aquamarine royal,Manufacturer#2,PROMO PLATED NICKEL,37,1164.14
120145,navajo violet lace aquamarine rosy,Manufacturer#4,LARGE BURNISHED NICKEL,48,1165.14
120146,rosy medium floral light red,Manufacturer#3,MEDIUM ANODIZED COPPER,12,1166.14
120147,azure coral purple white saddle,Manufacturer#1,STANDARD PLATED BRASS,16,1167.14
120148,pink hot brown turquoise navy,Manufacturer#3,PROMO ANODIZED COPPER,48,1168.14
120149,bisque spring moccasin hot antique,Manufacturer#4,LARGE ANODIZED COPPER,3,1169.14
120150,cornsilk purple medium frosted hot,Manufacturer#4,ECONOMY BRUSHED COPPER,8,1170.15
120151,ghost steel royal moccasin rose,Manufacturer#1,SMALL PLATED COPPER,38,1171.15
120152,dim green saddle sandy blanched,Manufacturer#2,SMALL PLATED NICKEL,38,1172.15
120153,grey tomato light wheat frosted,Manufacturer#5,STANDARD PLATED COPPER,23,1173.15
120154,midnight burnished tomato orange goldenrod,Manufacturer#2,ECONOMY BURNISHED STEEL,15,1174.15
120155,royal bisque brown saddle beige,Manufacturer#3,STANDARD POLISHED COPPER,40,1175.15
120156,navajo frosted gainsboro violet lawn,Manufacturer#3,MEDIUM POLISHED COPPER,43,1176.15
120157,plum steel medium orange orchid,Manufacturer#5,PROMO POLISHED NICKEL,20,1177.15
120158,beige deep chocolate lawn moccasin,Manufacturer#4,SMALL PLATED TIN,30,1178.15
120159,coral linen navajo aquamarine rose,Manufacturer#2,STANDARD POLISHED STEEL,15,1179.15
120160,cream brown purple sky ivory,Manufacturer#1,PROMO BRUSHED STEEL,49,1180.16
120161,sienna peru azure white dodger,Manufacturer#4,ECONOMY POLISHED NICKEL,37,1181.16
120162,blue cyan metallic puff burlywood,Manufacturer#5,ECONOMY POLISHED STEEL,43,1182.16
120163,gainsboro goldenrod dark saddle white,Manufacturer#2,MEDIUM BRUSHED STEEL,39,1183.16
120164,floral chocolate blanched almond aquamarine,Manufacturer#4,MEDIUM POLISHED COPPER,46,1184.16
120165,cornsilk blush firebrick blanched dim,Manufacturer#4,STANDARD PLATED TIN,46,1185.16
120166,pink brown burnished rose cream,Manufacturer#1,PROMO PLATED TIN,16,1186.16
120167,smoke peru slate sienna spring,Manufacturer#5,STANDARD BURNISHED NICKEL,3,1187.16
120168,brown beige peach navy powder,Manufacturer#1,PROMO BURNISHED STEEL,9,1188.16
120169,midnight forest black floral sky,Manufacturer#4,STANDARD PLATED BRASS,15,1189.16
120170,cornflower snow blush yellow dodger,Manufacturer#1,ECONOMY BURNISHED COPPER,49,1190.17
120171,cornflower khaki ivory coral yellow,Manufacturer#5,STANDARD PLATED NICKEL,32,1191.17
120172,peach pale hot blanched ghost,Manufacturer#4,ECONOMY ANODIZED TIN,33,1192.17
120173,azure burnished tomato mint spring,Manufacturer#1,SMALL ANODIZED TIN,2,1193.17
120174,purple yellow misty spring brown,Manufacturer#1,LARGE BRUSHED TIN,39,1194.17
120175,honeydew red chiffon lawn wheat,Manufacturer#1,PROMO BRUSHED BRASS,7,1195.17
120176,seashell cream blue bisque lavender,Manufacturer#2,MEDIUM BRUSHED BRASS,15,1196.17
120177,lime maroon dim goldenrod forest,Manufacturer#2,STANDARD BURNISHED TIN,15,1197.17
120178,lace aquamarine goldenrod purple khaki,Manufacturer#1,STANDARD ANODIZED COPPER,43,1198.17
120179,seashell yellow gainsboro ivory pink,Manufacturer#1,LARGE BURNISHED COPPER,41,1199.17
120180,chiffon wheat lavender coral navajo,Manufacturer#4,STANDARD ANODIZED BRASS,5,1200.18
120181,azure pale hot ghost brown,Manufacturer#5,PROMO BURNISHED NICKEL,30,1201.18
120182,maroon papaya thistle indian blue,Manufacturer#4,PROMO BURNISHED STEEL,26,1202.18
120183,red lace puff seashell chiffon,Manufacturer#4,SMALL PLATED COPPER,13,1203.18
120184,puff drab gainsboro khaki forest,Manufacturer#4,ECONOMY POLISHED BRASS,21,1204.18
120185,purple olive burlywood chocolate white,Manufacturer#3,PROMO BURNISHED NICKEL,3,1205.18
120186,navajo olive plum midnight spring,Manufacturer#4,PROMO PLATED BRASS,21,1206.18
120187,rose puff floral ivory cream,Manufacturer#2,SMALL POLISHED COPPER,6,1207.18
120188,tan navy goldenrod powder black,Manufacturer#5,PROMO ANODIZED COPPER,9,1208.18
120189,rose turquoise purple salmon linen,Manufacturer#4,LARGE BURNISHED NICKEL,30,1209.18
120190,slate white salmon brown grey,Manufacturer#2,SMALL PLATED COPPER,1,1210.19
120191,navajo deep goldenrod lawn misty,Manufacturer#1,PROMO BRUSHED BRASS,20,1211.19
120192,ivory smoke indian brown grey,Manufacturer#1,MEDIUM BURNISHED STEEL,3,1212.19
120193,salmon thistle sienna smoke dim,Manufacturer#3,PROMO PLATED BRASS,14,1213.19
120194,pink blush light sky moccasin,Manufacturer#5,SMALL BRUSHED NICKEL,21,1214.19
120195,medium mint dark orange firebrick,Manufacturer#1,LARGE ANODIZED COPPER,22,1215.19
120196,saddle black navy rosy hot,Manufacturer#5,STANDARD BRUSHED STEEL,38,1216.19
120197,khaki cornflower pink dim black,Manufacturer#3,LARGE PLATED BRASS,29,1217.19
120198,peru lemon spring maroon gainsboro,Manufacturer#2,MEDIUM BRUSHED TIN,37,1218.19
120199,smoke steel khaki hot light,Manufacturer#3,MEDIUM POLISHED BRASS,40,1219.19
120200,chocolate medium slate rose cornflower,Manufacturer#5,LARGE BRUSHED TIN,13,1220.20
120201,blush chartreuse linen yellow sienna,Manufacturer#5,STANDARD POLISHED COPPER,6,1221.20
120202,blush aquamarine orange pale violet,Manufacturer#3,ECONOMY ANODIZED COPPER,23,1222.20
120203,mint pale lace chocolate saddle,Manufacturer#3,MEDIUM POLISHED BRASS,40,1223.20
120204,black ghost sandy light ivory,Manufacturer#4,MEDIUM PLATED BRASS,36,1224.20
120205,peru peach antique violet puff,Manufacturer#2,LARGE POLISHED NICKEL,28,1225.20
120206,coral cornsilk cream steel sienna,Manufacturer#1,STANDARD POLISHED STEEL,26,1226.20
120207,ivory burnished powder forest beige,Manufacturer#2,LARGE BURNISHED NICKEL,3,1227.20
120208,peach maroon wheat azure sky,Manufacturer#5,LARGE ANODIZED TIN,35,1228.20
120209,ivory midnight chartreuse mint steel,Manufacturer#3,PROMO BRUSHED STEEL,41,1229.20
120210,forest ghost khaki blush bisque,Manufacturer#3,SMALL POLISHED TIN,9,1230.21
120211,spring magenta royal tomato pale,Manufacturer#3,MEDIUM PLATED TIN,44,1231.21
120212,honeydew chartreuse burnished black sienna,Manufacturer#3,SMALL BURNISHED NICKEL,38,1232.21
120213,light khaki sienna peach dodger,Manufacturer#5,STANDARD PLATED COPPER,23,1233.21
120214,ivory navy green white thistle,Manufacturer#4,ECONOMY ANODIZED NICKEL,40,1234.21
120215,blush pink grey ivory chartreuse,Manufacturer#1,LARGE BRUSHED COPPER,41,1235.21
120216,orchid rosy coral dodger plum,Manufacturer#5,SMALL BURNISHED COPPER,47,1236.21
120217,pink black coral antique almond,Manufacturer#2,PROMO ANODIZED NICKEL,18,1237.21
120218,moccasin plum gainsboro firebrick coral,Manufacturer#2,MEDIUM BRUSHED COPPER,25,1238.21
120219,bisque gainsboro puff cyan cream,Manufacturer#2,LARGE BURNISHED TIN,27,1239.21
120220,lime plum brown bisque orange,Manufacturer#5,SMALL BRUSHED COPPER,41,1240.22
120221,peru ivory spring brown gainsboro,Manufacturer#3,PROMO ANODIZED BRASS,38,1241.22
120222,plum lime lawn moccasin cornflower,Manufacturer#5,MEDIUM PLATED STEEL,45,1242.22
120223,goldenrod cornflower moccasin smoke peru,Manufacturer#1,MEDIUM ANODIZED NICKEL,20,1243.22
120224,light maroon firebrick thistle mint,Manufacturer#2,STANDARD BURNISHED BRASS,42,1244.22
120225,saddle cornflower rosy dim puff,Manufacturer#4,LARGE PLATED STEEL,37,1245.22
120226,mint cyan tan purple plum,Manufacturer#4,MEDIUM PLATED COPPER,7,1246.22
120227,burnished violet blush hot sandy,Manufacturer#2,STANDARD ANODIZED COPPER,7,1247.22
120228,lawn midnight dim blanched violet,Manufacturer#1,PROMO POLISHED TIN,41,1248.22
120229,firebrick goldenrod sky maroon forest,Manufacturer#5,LARGE BURNISHED COPPER,1,1249.22
120230,beige rosy lace olive floral,Manufacturer#2,LARGE PLATED NICKEL,20,1250.23
120231,puff lemon lavender dodger cornflower,Manufacturer#4,MEDIUM BRUSHED NICKEL,8,1251.23
120232,linen salmon purple indian orchid,Manufacturer#1,MEDIUM BURNISHED COPPER,34,1252.23
120233,lace lime light azure steel,Manufacturer#3,LARGE PLATED NICKEL,46,1253.23
120234,maroon blush goldenrod dark magenta,Manufacturer#1,LARGE ANODIZED BRASS,45,1254.23
120235,cyan blush orchid wheat magenta,Manufacturer#2,MEDIUM ANODIZED COPPER,37,1255.23
120236,puff coral navy spring rosy,Manufacturer#3,ECONOMY ANODIZED NICKEL,43,1256.23
120237,chocolate spring dodger ghost red,Manufacturer#5,LARGE PLATED NICKEL,17,1257.23
120238,burlywood floral saddle medium chiffon,Manufacturer#5,ECONOMY BURNISHED TIN,47,1258.23
120239,salmon indian beige pink lavender,Manufacturer#3,LARGE POLISHED STEEL,45,1259.23
120240,moccasin blush peach cream tan,Manufacturer#2,ECONOMY BRUSHED NICKEL,36,1260.24
120241,cornflower powder turquoise chiffon yellow,Manufacturer#1,SMALL POLISHED COPPER,38,1261.24
120242,khaki deep tomato goldenrod wheat,Manufacturer#1,MEDIUM PLATED NICKEL,28,1262.24
120243,lemon blush indian white deep,Manufacturer#2,PROMO BRUSHED STEEL,28,1263.24
120244,royal peru powder chartreuse misty,Manufacturer#3,SMALL BURNISHED STEEL,32,1264.24
120245,powder frosted rosy turquoise indian,Manufacturer#1,SMALL BRUSHED COPPER,30,1265.24
120246,chiffon firebrick lavender brown coral,Manufacturer#3,MEDIUM ANODIZED NICKEL,32,1266.24
120247,metallic maroon seashell aquamarine cyan,Manufacturer#3,LARGE BURNISHED STEEL,16,1267.24
120248,grey antique puff sienna magenta,Manufacturer#1,STANDARD POLISHED TIN,13,1268.24
120249,floral hot gainsboro misty lavender,Manufacturer#5,LARGE BURNISHED NICKEL,32,1269.24
120250,bisque cream hot navy misty,Manufacturer#5,MEDIUM POLISHED COPPER,38,1270.25
120251,burnished olive orchid cream peach,Manufacturer#1,LARGE PLATED COPPER,33,1271.25
120252,chocolate honeydew floral tan lemon,Manufacturer#2,LARGE ANODIZED NICKEL,43,1272.25
120253,dodger cyan papaya orchid steel,Manufacturer#1,LARGE POLISHED STEEL,49,1273.25
120254,pink drab tan sky smoke,Manufacturer#5,ECONOMY POLISHED STEEL,40,1274.25
120255,saddle drab royal cornflower lavender,Manufacturer#2,ECONOMY ANODIZED NICKEL,28,1275.25
120256,slate azure floral sandy peach,Manufacturer#4,SMALL BRUSHED STEEL,31,1276.25
120257,snow sandy chocolate gainsboro dodger,Manufacturer#2,MEDIUM POLISHED TIN,25,1277.25
120258,floral medium seashell hot grey,Manufacturer#1,STANDARD PLATED STEEL,9,1278.25
120259,burnished mint magenta spring lime,Manufacturer#2,LARGE PLATED TIN,32,1279.25
120260,sky burnished thistle linen maroon,Manufacturer#2,STANDARD PLATED BRASS,41,1280.26
120261,seashell lawn peru blue forest,Manufacturer#5,ECONOMY BRUSHED COPPER,22,1281.26
120262,black azure snow navy goldenrod,Manufacturer#5,PROMO BURNISHED NICKEL,44,1282.26
120263,dark azure blanched salmon pink,Manufacturer#4,MEDIUM PLATED STEEL,4,1283.26
120264,blue blanched snow red spring,Manufacturer#3,ECONOMY PLATED NICKEL,37,1284.26
120265,pale azure papaya peach black,Manufacturer#2,MEDIUM POLISHED COPPER,31,1285.26
120266,snow lavender antique medium cornsilk,Manufacturer#2,ECONOMY POLISHED STEEL,14,1286.26
120267,ghost honeydew mint cyan blush,Manufacturer#2,LARGE ANODIZED STEEL,11,1287.26
120268,antique khaki medium navy frosted,Manufacturer#5,LARGE BURNISHED BRASS,20,1288.26
120269,tan turquoise pale coral chocolate,Manufacturer#4,STANDARD BURNISHED BRASS,18,1289.26
120270,pink lemon forest violet aquamarine,Manufacturer#4,PROMO BURNISHED STEEL,48,1290.27
120271,drab maroon linen dark almond,Manufacturer#5,PROMO BURNISHED NICKEL,20,1291.27
120272,black mint aquamarine midnight navajo,Manufacturer#2,SMALL BURNISHED STEEL,14,1292.27
120273,burlywood thistle dim purple orange,Manufacturer#1,STANDARD BURNISHED BRASS,20,1293.27
120274,papaya drab navy peach sky,Manufacturer#5,SMALL BURNISHED STEEL,19,1294.27
120275,bisque rose tomato black white,Manufacturer#4,LARGE POLISHED NICKEL,21,1295.27
120276,indian goldenrod cyan hot cornflower,Manufacturer#4,STANDARD BURNISHED COPPER,1,1296.27
120277,magenta peach peru navy papaya,Manufacturer#2,PROMO BURNISHED COPPER,13,1297.27
120278,brown spring purple magenta chocolate,Manufacturer#2,PROMO BRUSHED BRASS,28,1298.27
120279,drab dodger deep puff aquamarine,Manufacturer#3,LARGE BRUSHED TIN,2,1299.27
120280,burnished powder azure tomato olive,Manufacturer#2,LARGE BRUSHED BRASS,29,1300.28
120281,cornsilk powder wheat puff royal,Manufacturer#2,MEDIUM POLISHED BRASS,11,1301.28
120282,lace violet sienna linen burlywood,Manufacturer#4,MEDIUM BURNISHED COPPER,8,1302.28
120283,lavender light papaya sandy olive,Manufacturer#1,PROMO POLISHED BRASS,46,1303.28
120284,lavender midnight cornflower deep chartreuse,Manufacturer#5,MEDIUM BRUSHED BRASS,22,1304.28
120285,midnight lime turquoise red spring,Manufacturer#4,PROMO BRUSHED COPPER,5,1305.28
120286,thistle violet plum burlywood rosy,Manufacturer#1,LARGE ANODIZED STEEL,11,1306.28
120287,violet metallic blue spring medium,Manufacturer#5,MEDIUM PLATED STEEL,18,1307.28
